	Depth（nm）	Load（mN）			Depth（nm）	Load（mN）			Depth（nm）	Load（mN）				点位	时间	Depth（nm）	Load（mN）			Depth（nm）	Load1（mN）	Load2（mN）	Load3（mN）
4.650301	3052.230776	45.32174		5.207425	2100.537505	51.32326		4.76771	2553.784985	46.75137				1#	5.98849	3470.144646	58.7183		5.98849	3470.144646	58.7183	58.85557	58.85557
4.710563	3074.818008	45.93311		5.269266	2118.028552	51.97386		4.824956	2572.641896	47.34742				1#	6.041347	3484.222771	59.2752		6.041347	3484.222771	59.2752	59.46449	59.46449
4.772086	3097.638426	46.54328		5.324197	2132.418983	52.51448		4.879586	2590.296617	47.87164				1#	6.103341	3501.277125	59.85584		6.103341	3501.277125	59.85584	60.07421	60.07421
4.826055	3117.662927	47.13264		5.384005	2148.353287	53.09912		4.94153	2609.84268	48.4623				1#	6.163355	3516.856876	60.46667		6.163355	3516.856876	60.46667	60.61855	60.61855
4.880373	3136.961265	47.66024		5.443216	2163.028616	53.68534		5.003937	2629.078317	49.08808				1#	6.22114	3532.565624	61.05567		6.22114	3532.565624	61.05567	61.18102	61.18102
4.940683	3157.925547	48.23797		5.501573	2177.250149	54.26986		5.064384	2647.672631	49.69563				1#	6.27301	3545.288488	61.59749		6.27301	3545.288488	61.59749	61.80101	61.80101
5.001587	3178.91415	48.84612		5.563082	2191.139189	54.86633		5.125847	2666.306	50.31743				1#	6.334021	3561.039343	62.16571		6.334021	3561.039343	62.16571	62.40698	62.40698
5.054593	3197.061316	49.41833		5.614406	2203.274965	55.43715		5.182484	2683.983352	50.8953				1#	6.394031	3575.70465	62.7878		6.394031	3575.70465	62.7878	62.98572	62.98572
5.108684	3213.757205	49.94673		5.670427	2215.478218	55.96543		5.243236	2702.06781	51.49655				1#	6.45368	3590.179123	63.36791		6.45368	3590.179123	63.36791	63.57824	63.57824
5.169496	3232.624743	50.53399		5.725403	2227.455056	56.5427		5.295499	2717.164404	52.05796				1#	6.514697	3605.123994	63.97536		6.514697	3605.123994	63.97536	64.19122	64.19122
5.226652	3250.759955	51.11571		5.779598	2239.777458	57.0751		5.348979	2732.556095	52.57348				1#	6.575732	3620.066201	64.58817		6.575732	3620.066201	64.58817	64.8008	64.8008
5.288033	3269.487998	51.70902		5.840401	2253.915474	57.65489		5.409129	2748.716951	53.14562				1#	6.63668	3634.487909	65.19748		6.63668	3634.487909	65.19748	65.38501	65.38501
5.35229	3288.487977	52.38448		5.900788	2268.766484	58.25882		5.469063	2764.804276	53.74978				1#	6.697722	3648.813924	65.80289		6.697722	3648.813924	65.80289	65.96075	65.96075
5.406769	3304.32236	52.92632		5.961371	2283.407189	58.85557		5.52827	2780.273095	54.34734				1#	6.757623	3663.098935	66.40608		6.757623	3663.098935	66.40608	66.49384	66.49384
5.466656	3322.324494	53.49659		6.021636	2297.617295	59.46449		5.587208	2794.886032	54.93453				1#	6.817709	3677.007024	67.00561		6.817709	3677.007024	67.00561	67.07448	67.07448
5.522017	3338.913477	54.09267		6.081504	2311.735271	60.07421		5.648236	2810.69972	55.53152				1#	6.878193	3690.922632	67.61604		6.878193	3690.922632	67.61604	67.67675	67.67675
5.574345	3354.097587	54.6079		6.133322	2323.818846	60.61855		5.709463	2826.261027	56.14754				1#	6.938047	3704.629412	68.21916		6.938047	3704.629412	68.21916	68.29962	68.29962
5.634545	3370.160433	55.1747		6.194338	2337.952603	61.18102		5.76957	2840.940073	56.7506				1#	6.992176	3717.170612	68.7914		6.992176	3717.170612	68.7914	68.89975	68.89975
5.694986	3387.153453	55.7804		6.255409	2351.918494	61.80101		5.824885	2854.840379	57.34855				1#	7.047779	3729.920357	69.32552		7.047779	3729.920357	69.32552	69.49486	69.49486
5.756207	3404.857299	56.38283		6.315854	2366.361955	62.40698		5.881207	2868.977041	57.88396				1#	7.109045	3743.451886	69.9201		7.109045	3743.451886	69.9201	70.08644	70.08644
5.810403	3420.439631	56.97557		6.372057	2379.047458	62.98572		5.938162	2882.517397	58.45635				1#	7.16887	3756.555219	70.529		7.16887	3756.555219	70.529	70.68602	70.68602
5.868469	3436.41447	57.5223		6.432862	2392.668418	63.57824		5.99912	2897.495679	59.04772				1#	7.220123	3768.178981	71.06904		7.220123	3768.178981	71.06904	71.30011	71.30011
5.928972	3453.577434	58.12064		6.494395	2406.613437	64.19122		6.059634	2912.33881	59.65147				1#	7.28227	3782.343636	71.64799		7.28227	3782.343636	71.64799	71.87747	71.87747
5.98849	3470.144646	58.7183		6.554908	2420.10694	64.8008		6.119945	2927.086178	60.25316				1#	7.340821	3794.837009	72.2576		7.340821	3794.837009	72.2576	72.44941	72.44941
6.041347	3484.222771	59.2752		6.611872	2432.164085	65.38501		6.177517	2941.122303	60.85283				1#	7.401267	3807.967556	72.8471		7.401267	3807.967556	72.8471	73.03962	73.03962
6.103341	3501.277125	59.85584		6.667335	2444.351273	65.96075		6.232098	2954.482051	61.40565				1#	7.462764	3820.964289	73.45738		7.462764	3820.964289	73.45738	73.58717	73.58717
6.163355	3516.856876	60.46667		6.72219	2456.04898	66.49384		6.288884	2968.747153	61.95772				1#	7.523147	3834.308918	74.06596		7.523147	3834.308918	74.06596	74.13708	74.13708
6.22114	3532.565624	61.05567		6.782568	2467.834244	67.07448		6.349257	2982.816439	62.54229				1#	7.576857	3845.705222	74.64067		7.576857	3845.705222	74.64067	74.73151	74.73151
6.27301	3545.288488	61.59749		6.843991	2480.900177	67.67675		6.410778	2997.659524	63.16052				1#	7.630722	3857.592863	75.16199		7.630722	3857.592863	75.16199	75.32027	75.32027
6.334021	3561.039343	62.16571		6.905204	2492.738166	68.29962		6.470337	3012.019168	63.76335				1#	7.69192	3870.165126	75.74741		7.69192	3870.165126	75.74741	75.90789	75.90789
6.394031	3575.70465	62.7878		6.964632	2504.289159	68.89975		6.531229	3026.056188	64.36435				1#	7.752317	3882.724349	76.35604		7.752317	3882.724349	76.35604	76.5067	76.5067
6.45368	3590.179123	63.36791		7.023979	2516.223167	69.49486		6.592276	3040.86304	64.97836				1#	7.815473	3895.551611	76.97904		7.815473	3895.551611	76.97904	77.10919	77.10919
6.514697	3605.123994	63.97536		7.082981	2528.102489	70.08644		6.647604	3054.468471	65.57081				1#	7.876178	3907.303713	77.59394		7.876178	3907.303713	77.59394	77.71852	77.71852
6.575732	3620.066201	64.58817		7.144244	2540.638783	70.68602		6.704227	3068.367765	66.11743				1#	7.936143	3919.100011	78.19279		7.936143	3919.100011	78.19279	78.25432	78.25432
6.63668	3634.487909	65.19748		7.205009	2552.300976	71.30011		6.761027	3081.633578	66.70768				1#	7.996755	3930.662604	78.79225		7.996755	3930.662604	78.79225	78.82567	78.82567
6.697722	3648.813924	65.80289		7.261224	2563.400992	71.87747		6.816947	3094.466615	67.24868				1#	8.062907	3943.65495	79.46279		8.062907	3943.65495	79.46279	79.47512	79.47512
6.757623	3663.098935	66.40608		7.318246	2573.911221	72.44941		6.872723	3107.853858	67.82648				1#	8.121987	3955.086419	80.05521		8.121987	3955.086419	80.05521	80.07664	80.07664
6.817709	3677.007024	67.00561		7.378648	2584.945405	73.03962		6.926721	3119.880244	68.34906				1#	8.17544	3964.771912	80.62729		8.17544	3964.771912	80.62729	80.65511	80.65511
6.878193	3690.922632	67.61604		7.429476	2594.386038	73.58717		6.987774	3134.743816	68.93487				1#	8.23084	3975.432875	81.15955		8.23084	3975.432875	81.15955	81.25516	81.25516
6.938047	3704.629412	68.21916		7.488314	2604.549591	74.13708		7.042572	3147.323134	69.52387				1#	8.292725	3986.707241	81.75727		8.292725	3986.707241	81.75727	81.86638	81.86638
6.992176	3717.170612	68.7914		7.546827	2614.374612	74.73151		7.098394	3160.390587	70.05991				1#	8.352517	3997.639682	82.35578		8.352517	3997.639682	82.35578	82.47623	82.47623
7.047779	3729.920357	69.32552		7.606078	2625.929984	75.32027		7.156457	3173.732685	70.63005				1#	8.411408	4008.468532	82.95394		8.411408	4008.468532	82.95394	83.09267	83.09267
7.109045	3743.451886	69.9201		7.664951	2637.267364	75.90789		7.217366	3188.198368	71.22625				1#	8.463575	4018.077652	83.50366		8.463575	4018.077652	83.50366	83.69426	83.69426
7.16887	3756.555219	70.529		7.725933	2648.203796	76.5067		7.282094	3203.480312	71.87257				1#	8.520284	4028.055961	84.05382		8.520284	4028.055961	84.05382	84.2984	84.2984
7.220123	3768.178981	71.06904		7.785176	2658.739626	77.10919		7.344042	3217.713815	72.49608				1#	8.582213	4038.99085	84.64739		8.582213	4038.99085	84.64739	84.89634	84.89634
7.28227	3782.343636	71.64799		7.844502	2668.724352	77.71852		7.405241	3231.604304	73.10906				1#	8.643889	4049.60008	85.25679		8.643889	4049.60008	85.25679	85.5156	85.5156
7.340821	3794.837009	72.2576		7.896655	2677.5779	78.25432		7.466973	3246.091859	73.72571				1#	8.703075	4059.686073	85.86379		8.703075	4059.686073	85.86379	86.09962	86.09962
